时间,标题,链接
2025-02-17,关于举办中南大学物理实验竞赛暨第十一届全国大学生物理实验竞赛（创新）选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=6DB478B0C7D240ACBD4F2E3F14219F75
2025-01-18,关于组织申报2025年大学生创新创业项目的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=4D5947E6591A4C83B3D1ED8BE1F716C6
2025-01-16,关于推荐中国国际大学生创新大赛（2025）重点培育项目的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A9BBF1FAEEB14F489F2C5AC487ECCEE5
2025-01-15,关于组织师生收看湖南卫视《夺金2025》节目的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=BE948AA5C47E4B4FB4FE0AE4830ECD50
2025-01-13,关于公布中南大学2024年刘业翔创新创业基金和蔡田碹珠创新创业基金资助项目的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=33C472503D3A4781BA597DEADCDD7BA2
2025-01-09,关于举办第十八届中南大学节能减排社会实践与科技竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=E17FCA07F32D4F62B2CDDA031C4A14BC
2023-04-20,关于公示2023年寒假创新创业教育实践活动获奖名单的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=94428180B1A748FC90B7835090F07B34
2019-01-20,关于组织学生参加第九届全国大学生电子商务“创新、创意及创业”挑战赛中南大学校内选...,https://bksy.csu.edu.cn/info/1062/4280.htm
2019-01-18,关于组织申报2019年大学生创新创业项目的通知,https://bksy.csu.edu.cn/info/1062/4276.htm
2019-01-12,关于举办中南大学第五届大学生信息安全应用创新大赛暨全国大学生信息安全竞赛校内选拔...,https://bksy.csu.edu.cn/info/1062/4254.htm
2019-01-09,关于公示2018年创新创业师生共创项目重点支持项目（第二批）的通知,https://bksy.csu.edu.cn/info/1062/4251.htm
2025-04-09,关于举办中南大学第十八届大学生程序设计竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=7DC8F5C072FA42FF8FBC5C567EDA94A4
2025-03-28,关于举办2025年中南大学大学生计算机设计大赛暨第十八届中国大学生计算机设计大赛校内...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=081CE733C5B9444CB3D3DEE82D768571
2025-03-28,关于举办2025年中南大学大学生电子设计大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=5C1F6466E24C461FA36C78DD21814D25
2025-03-27,关于举办中南大学第二十届数学建模竞赛暨全国赛校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=002A7B8CF2884BF989EA2EF14A599240
2025-03-24,关于举办中南大学“外教社·词达人杯”全国大学生英语词汇能力大赛通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=4E357F29BD454099A4AC2C2A94F0C4C8
2025-03-24,关于2025年中南大学第十九届大学生物理竞赛结果公示的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=9DA917E1A705400E855BCFF632276326
2025-03-20,关于组织申报2025年度湖南省大学生创新创业教育精品课程的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=5E1D58FAD03D4CB9B5AE13CA2D1ACE8C
2025-03-19,关于2024年学科竞赛获奖学生和指导教师成绩公示通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A22ECD3CF6424C118ABF0F8D8949C262
2025-03-13,关于参加2025年“金种子杯”大学生创业大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=F6B34F2867474D8F8487CE1E587D00B7
2025-03-12,关于举办中南大学第十七届大学生测绘学科创新创业智能大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=8D9333EC00964436AC903101BA4AA925
2025-03-10,关于组织报名参加“第十五届全国周培源大学生力学竞赛”的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=D3C7D98D80614B0DB12EB7B29E137054
2025-03-10,关于举办2025年中南大学第十四届大学生化学实验竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=D13E19B5CFCC4C9688001D8719A1AA74
2025-03-06,关于举行中南大学第一届大学生地球物理知识竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=374A98624AE34BA4AE109D07AA2E4D83
2025-03-05,关于举办2025年中南大学第十四届智能机器人大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=B6E68678C2C048D1A13B87334F5B1143
2025-03-05,关于组织参加第三届湖南省大学生节能减排社会实践与科技竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A1ACCC0BB7414C6A95556BE729508B3A
2025-05-23,关于举办2025年中南大学大学生智能汽车大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=B0D446F05E614D048DBBBB5116B71E96
2025-05-20,关于表彰2024年学科竞赛获奖学生和指导教师的通报,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=350FD7C0AC6B498A9C9801D1A9F2BE92
2025-05-15,关于举办中国国际大学生创新大赛（2025）校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=E5478500597543FFB9BA62FB083DF073
2025-05-14,关于2025“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛国际传播综合能力赛...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=EA145DCEEC034DCB902F4E767CCA6BB0
2025-05-13,关于组织开展中南大学2025年“青年红色筑梦之旅”活动的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=E0A19058A11C45BFB056B6254E78CF78
2025-05-13,关于开展2025年“北斗微小课题”申报工作的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A0ED7731D7B04E13981F2C98DEC19D7D
2025-05-13,关于参加大学生智能算法科创大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=091C4DEEBC19426ABA90A7448EE17F36
2025-05-09,关于举办中南大学第五届大学生GIS应用技能竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=7260D6F429214D558E62B18547ED23AA
2025-05-06,关于举办第十二届中南大学机械创新设计校赛及省赛选拔的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=B7824D288E9F43E180646B982129BD88
2025-04-29,关于2025年第八届“外教社杯”全国高校学生跨文化能力大赛中南大学选拔赛通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=EB7E8EBF30BE4EBE9221A8FA4881D2A7
2025-04-25,关于举办第十一届中南大学结构设计竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=1F0EDA2770064190991CDBA083C764AC
2025-04-25,关于举办2025年第九届中南大学制药工程设计竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=B32FF516C5524D61ADC6DD4D557D670E
2025-04-24,关于举办2025年“学创杯”全国大学生创业综合模拟大赛中南大学校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=E32560385BA045F88EA829B12F6D6DA7
2025-04-23,关于举办第七届国际大学生混凝土龙舟邀请赛选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=03559EF1F2C44433A998E0628A86DEAC
2025-04-21,关于举办2025年全国高校商业精英挑战赛创新创业竞赛中南大学校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=49FA67177FBA43C78372D3E19E97BFED
2025-09-11,中南大学2025级升华科创班报名选拔通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=F97ADB619F4047EBA80AA362BC15499D
2025-09-10,关于举办第十一届中南大学文学作品创作大赛、第五届“中文之光”写作大赛（暨第十届湖...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=7E8F4111EA8543C28C108C2975DF0C06
2025-09-09,关于举办2025中南大学大学生工业设计大赛暨2025年湖南省大学生工业设计大赛校内选拔赛...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=5D857753E480480787CB2871F7E9CBF3
2025-06-24,关于2025中国国际大学生创新大赛中南大学校内选拔赛第二轮路演答辩的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=8F5F1BAE69E34A139BEE9FCF9C532216
2025-06-23,关于举办中南大学第九届大学生物联网创意赛暨湖南省物联网大赛校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=E48FE9467BEB43CAA90F2E0D1389FDEC
2025-06-17,关于2025中国国际大学生创新大赛中南大学校内选拔赛路演答辩的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=20BED6B85C30488A84CAC8BFE17423C1
2025-06-13,关于举办中南大学2025年中国机器人大赛暨RoboCup机器人世界杯中国赛—机器人先进视觉组...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=71D4302B8ADA46A3BB0B72E5BE53BD02
2025-06-13,关于组织学生参加2025年全国高校商业精英挑战赛创新创业竞赛流通业经营模拟赛道、营销...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=453F9FA0DFDC49928708C2AFC99EE4B7
2025-06-12,关于举办2025年中南大学大学生广告艺术大赛暨全国大学生广告艺术大赛湖南赛区选拔赛的...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=923F00D76A144E36A0470FC06A3727E6
2025-06-09,关于开展2025年上半年教学质量评价的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=377D185DA13A4ACAB854A8DFD7D1B062
2025-06-06,关于参加2025年新域新质创新大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=8F164A5E84E24C74B1262BA7D90611C7
2025-06-04,关于举办2025年“外研社·国才杯”“理解当代中国”湖南省大学生外语能力大赛中南大学口...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=5C79263E82494812AF0ADAE44B1DD9A0
2025-05-30,2025“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛短视频大赛中南大学选拔...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=D84EAE16427F4ABEB8BCAE74DD61D1F0
2025-05-28,关于2025年全国大学生英语竞赛获奖学生电子证书下载的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=EB4F1BEE73E946B68C376CC5E91F36E8
2025-05-26,关于举办2025年中南大学大学生创新年会学校专场的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=1C5127F79E294D0FA2524CC575800EF8
2025-10-30,关于参加“中国中车杯”第八届全国大学生可再生能源优秀科技作品竞赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=F8811E0DED9647E6B1DF930E71B94487
2025-10-27,关于举办第十二届中南大学医学创新大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A40D25F4CEDF462AA522FA127E339FEF
2025-10-17,关于组织参加“正大杯”第十六届全国大学生市场调查与分析大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=666A911F412643D2B8149975E3F8B151
2025-10-13,关于组织学生参加2026年第十四届全国高校商业精英挑战赛品牌策划竞赛中南大学校内选拔...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=85C4805D0B9A47CC81233AC7C91D76B5
2025-10-10,关于参加第二届“金种子杯”大学生创业大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=7D421DF1151441EE86D567660D7D7A27
2025-09-30,关于举办第十届中南大学虚拟仿真设计大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=89473E8AFD2A4290B1FEDF2270ED3810
2025-09-29,中南大学2025年升华科创班面试考核通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=92AF1366D3FA4EF08FB6CA802CD4885C
2025-09-28,关于开展湖南省大学生创业微短剧短视频大赛中南大学校内选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A441B01A8F9649D8A3A96FEEB51F91DC
2025-09-24,关于举办中南大学第六届先进飞行器虚拟仿真大赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=A188276DE0414ECD8B2F41DC7B7B1186
2025-09-23,关于参加第三届IPv6技术应用创新大赛科教赛道暨第八届下一代互联网技术创新大赛”的通...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=741068FFCC714888B9FF651338737462
2025-09-22,关于征集升华科创班项目核心导师的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=81B7BCCACBDE4CE1A1620B2DCA20E5FE
2025-09-18,关于举办第十七届中国大学生物理学术竞赛（CUPT）中南大学选拔赛的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=F7A27451E2814B418D87ED6DB457AA46
2025-11-07,关于组织开展2025级新生创新创业教育“苗圃行动”暨大学生创业活动月的通知,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=26B82C1E8E594258905D2979E42E2AFA
2025-11-11,中南大学创新创业学院非事业编工作人员招聘公告,https://bksy.csu.edu.cn/info/1062/5730.htm
2025-10-30,关于举办“2025年中南大学大学生力学竞赛”暨“2025年第二十一届湖南省大学生力学竞赛...,https://oa.csu.edu.cn/con/PDFPage?YWMC=ZNDX_ZHBG_GGTZ&JLNM=70E96F8FD97E4C5193860BC717E6326F
